NAME,CITY,STATE,ZIP,LAT,LON
Cheyenne Wells Junior/High School,CHEYENNE WELLS,CO,80810,38.822585,-102.353863
Yuma High School,YUMA,CO,80759,40.115577,-102.723383
Wray Junior Senior High School,WRAY,CO,80758,40.073986,-102.244019
Idalia Junior-Senior High School,IDALIA,CO,80735,39.705006,-102.29442
High Point Academy,AURORA,CO,80019,39.819221,-104.761271
Animas High School,DURANGO,CO,81301,37.267579,-107.917981
Victory Preparatory Academy High State Charter Sch,COMMERCE CITY,CO,80022,39.800208,-104.903957
Colorado Preparatory Academy High School,WESTMINSTER,CO,80031,39.85134,-105.050971
The Yampah Mountain High School Nursery,GLENWOOD SPRINGS,CO,81601,39.548286,-107.334392
Air Academy High School,USAF ACADEMY,CO,80840,38.967994,-104.84588
High Plains Elementary School,COLORADO SPRINGS,CO,80920,38.947094,-104.783662
Rampart High School,COLORADO SPRINGS,CO,80920,38.949407,-104.772372
Liberty High School,COLORADO SPRINGS,CO,80920,38.959185,-104.73617
Pine Creek High School,COLORADO SPRINGS,CO,80908,38.987084,-104.763007
Discovery Canyon Campus High School,COLORADO SPRINGS,CO,80921,39.03018,-104.796061
The Classical Academy High School,COLORADO SPRINGS,CO,80921,39.016573,-104.816602
Village High School,COLORADO SPRINGS,CO,80920,38.954234,-104.791305
Adams City High School,COMMERCE CITY,CO,80022,39.8281,-104.9004
Lester R Arnold High School,COMMERCE CITY,CO,80022,39.8266,-104.9123
Agate Junior Senior High School,AGATE,CO,80101,39.462633,-103.941268
Aguilar Junior-Senior High School,AGUILAR,CO,81020,37.406,-104.6539
Akron High School,AKRON,CO,80720,40.164333,-103.204935
Alamosa High School,ALAMOSA,CO,81101,37.4839,-105.8949
Antonito High School,ANTONITO,CO,81120,37.080075,-106.016932
Pagosa Springs High School,PAGOSA SPRINGS,CO,81147,37.255882,-107.016925
Arickaree Undivided High School,ANTON,CO,80801,39.7453,-103.0298
Aspen High School,ASPEN,CO,81611,39.189836,-106.84895
Highland Elementary School,PIERCE,CO,80650,40.6389,-104.7559
Highland High School,AULT,CO,80610,40.581336,-104.736959
Highland Middle School,AULT,CO,80610,40.581336,-104.736959
Gateway High School,AURORA,CO,80012,39.6936,-104.8171
