time,latitude,longitude,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,wind_speed_10m
2016-09-09T14:00,38.6233,-103.8094,67.5,34,58.0,0.0,15.7
2021-03-26T05:00,38.8537,-105.5853,13.9,81,3.6,0.0,9.6
2017-08-05T01:00,40.4832,-103.7203,78.4,51,77.3,0.0,9.5
2020-11-26T14:00,38.8712,-103.0481,32.8,55,22.9,0.0,10.4
2016-09-09T12:00,40.4183,-102.0142,63.7,91,62.7,0.0,11.3
2020-12-24T02:00,39.8517,-105.3208,12.7,43,-0.8,0.0,15.5
2023-09-05T02:00,39.0804,-104.8985,67.9,15,60.1,0.0,5.5
2018-10-15T21:00,40.758,-105.2258,34.0,45,27.6,0.0,4.1
2024-08-03T16:00,38.8093,-104.8684,80.4,31,79.3,0.0,2.0
2022-12-25T06:00,38.055,-104.4924,28.9,61,20.2,0.0,7.5
2017-06-03T14:00,38.8346,-105.4711,43.7,52,36.2,0.0,7.0
2024-05-21T01:00,37.5541,-104.3724,77.8,10,62.5,0.0,22.8
2019-06-04T13:00,38.8851,-109.1943,63.1,29,57.5,0.0,3.4
2023-10-27T12:00,40.3018,-102.826,25.1,59,16.5,0.0,6.3
2021-03-30T09:00,38.4109,-109.1108,23.2,89,16.1,0.004,4.3
2020-01-30T13:00,37.8191,-102.8319,28.7,68,20.0,0.0,7.7
2020-12-02T13:00,40.3054,-107.8119,20.9,74,12.6,0.008,5.8
2024-10-28T06:00,37.6113,-109.6105,52.3,56,48.0,0.0,3.1
2022-02-27T22:00,38.366,-103.6956,55.9,9,47.0,0.0,5.5
2018-09-19T18:00,40.3838,-104.8396,80.4,26,76.8,0.0,7.6
2021-05-28T16:00,37.7472,-103.7851,65.5,53,64.1,0.0,5.4
2020-04-10T19:00,38.9641,-104.7191,62.8,16,56.4,0.0,8.1
2017-08-09T23:00,37.5976,-108.775,82.7,14,76.7,0.0,7.1
2019-01-28T04:00,39.317,-109.7765,27.6,61,18.3,0.0,8.3
2019-03-17T02:00,38.8406,-107.754,26.6,62,19.8,0.0,2.6
2018-06-19T10:00,39.3209,-103.8698,58.9,96,57.8,0.0,8.3
2017-02-21T06:00,40.0099,-108.8347,39.0,67,33.9,0.0,2.0
2024-07-02T15:00,40.1473,-104.3308,69.9,47,66.6,0.0,7.0
2022-01-23T03:00,37.0891,-104.8962,13.2,78,6.0,0.0,2.2
2021-02-25T05:00,38.4856,-102.7771,32.1,38,21.9,0.0,9.4
